question,answer,contexts,reference,source,faithfulness,context_precision,context_recall
What is APR in digital lending?,"APR is the effective annualised rate charged and is based on an all-inclusive cost and margin including cost of funds, credit cost and operating cost, processing fee, verification charges, maintenance charges, etc., and exclude contingent charges like penal charges, late payment charges, etc.",['2.1. Annual Percentage Rate (APR): APR is the effective annualised rate charged'],APR is the effective annualised rate charged to the borrower including all costs except contingent charges.,doc.pdf#page=3,,,
What entities do the digital lending guidelines apply to?,"The digital lending guidelines apply to All Commercial Banks, Primary (Urban) Co-operative Banks, State Co-operative Banks, District Central Co-operative Banks, and Non-Banking Financial Companies (including Housing Finance Companies).","['1.1. All Commercial Banks, 1.2. Primary (Urban) Co-operative Banks, State Co-operative Banks, District Central Co-operative Banks; and 1.3. Non-Banking Financial Companies (including Housing Finance Companies)']","They apply to commercial banks, cooperative banks, and non-banking financial companies including housing finance companies.",doc.pdf#page=3,,,
What is a Digital Lending App (DLA)?,A Digital Lending App (DLA) is a mobile and web-based application with a user interface that facilitates digital lending services.,['2.4. Digital Lending Apps/Platforms  (DLAs): Mobile and web- based applications with user interface that facilitate digital lending services.'],It is a mobile or web-based application that facilitates digital lending services.,doc.pdf#page=3,,,
Who is responsible if a lending service provider violates rules?,"The Regulated Entity (RE) is responsible if a Lending Service Provider (LSP) violates rules, as the RE is required to ensure that the LSPs engaged by them comply with the guidelines.","['REs shall ensure that any fees, charges, etc., payable to LSPs are paid directly by them (REs) and are not charged by LSP to the borrower directly.']",The regulated entity remains responsible even if services are outsourced.,doc.pdf#page=1,,,
Can loan disbursal be made to third-party accounts?,"No, loan disbursal shall always be made into the bank account of the borrower except for disbursals covered exclusively under statutory or regulatory mandate (of RBI or of any other regulator), flow of money between REs for co-lending transactions, and disbursals for specific end use, provided the loan is disbursed directly into the bank account of the end-beneficiary.","['disbursements shall always be made into the bank account of the borrower except for disbursals covered exclusively under statutory or regulatory mandate (of RBI or of any other regulator) , flow of money between REs for c o-lending transactions 2 and disbursals for specific end use, provided the loan is disbursed directly into the bank account of the end-beneficiary.']","No, loans must be disbursed directly to the borrower’s bank account except specific regulatory cases.",doc.pdf#page=4,,,0.0
Who should pay fees to lending service providers?,"REs (Regulated Entities) shall ensure that any fees, charges, etc., payable to LSPs are paid directly by them (REs) and are not charged by LSP to the borrower directly.","['4.1. Payment of Fees/Charges: REs shall ensure that any fees, charges, etc. , payable to LSPs are paid directly by them (REs) and are not charged by LSP to the borrower directly.']","Regulated entities must pay fees to LSPs, not the borrower.",doc.pdf#page=4,,0.9999999999,
How should penal charges be calculated?,Penal charges shall be based on the outstanding amount of the loan and the rate of such penal charges shall be disclosed upfront on an annualized basis to the borrower in the Key Fact Statement (KFS).,"['borrowers shall be based on the outstanding amount of the loan. Further, rate of such penal charges shall be disclosed upfront on an annualized basis to the borrower in the Key Fact Statement (KFS).']",They must be based on the outstanding loan amount and disclosed annually.,doc.pdf#page=4,,,
What must be disclosed in the Key Fact Statement?,"The Key Fact Statement (KFS) shall contain the details of APR, the recovery mechanism, details of grievance redressal officer designated specifically to deal with digital lending/ FinTech related matter and other necessary information.","['5.2.2. The KFS shall, apart from other necessary information, contain the details of APR, the recovery mechanism, details of grievance redressal officer designated specifically to deal with digital lending/ FinTech related matter and']","APR, recovery mechanism, grievance officer details, and cooling-off period.",doc.pdf#page=5,,,
Can a lender charge fees not mentioned in the KFS?,No,"['Any fees, charges, etc., which are not mentioned in the KFS cannot be charged by the REs to the borrower at any stage during the term of the loan.']","No, any fees not mentioned in the KFS cannot be charged.",doc.pdf#page=5,,,
What documents must be digitally provided to borrowers?,"Digitally signed documents such as Key Fact Statement (KFS), summary of loan product, sanction letter, terms and conditions, account statements, and privacy policies must be provided to borrowers.","['5.3. Digitally signed documents – REs shall ensure that digitally signed documents3 (on the letter head of the RE ) viz., KFS, summary of loan product, sanction letter, terms and conditions, account statements, privacy policies of the']","Documents like KFS, loan agreement, sanction letter, and privacy policy must be digitally shared.",doc.pdf#page=5,,,
What information must be displayed at onboarding in DLAs?,"Information relating to the product features, loan limit and cost, etc.","['at on- boarding/sign-up stage, prominently display information relating to the product features, loan limit and cost, etc., so as to make the borrowers aware of these aspects.']","Product features, loan limits, and cost details must be displayed.",doc.pdf#page=5,,,
What happens if a borrower complaint is unresolved for 30 days?,"The borrower can lodge a complaint over the Complaint Management System (CMS) portal under the Reserve Bank-Integrated Ombudsman Scheme (RB-IOS) if the complaint is not resolved within the stipulated period, currently 30 days.","['RE is not resolved by the RE within the stipulated period (currently 30 days), he/she can lodge a complaint over the Complaint Management System (CMS) portal under the Reserve Bank-Integrated Ombudsman Scheme (RB-IOS)']",The borrower can escalate it to RBI’s Complaint Management System under the Ombudsman Scheme.,doc.pdf#page=6,,,
What factors must be considered to assess borrower creditworthiness?,"occupation, income, etc.","['occupation, income, etc.), before extending any loan over their own DLAs and/or through LSPs engaged by them, with a view to assess ing the borrower’s creditworthiness in an auditable way.']","Economic profile such as age, income, and occupation must be evaluated.",doc.pdf#page=6,,,
Can credit limits be increased automatically?,"No, credit limits cannot be increased automatically unless explicit consent of the borrower is taken on record for each such increase.",['REs shall ensure that there is no automatic increase in credit limit unless explicit consent of borrower is taken on record for each such increase.'],"No, explicit borrower consent is required.",doc.pdf#page=7,,,
What is the minimum cooling-off period for loans above 7 days?,I don't know,[],At least 3 days.,doc.pdf#page=7,,0.0,
What happens during the cooling-off period?,"During the cooling-off period, a borrower shall be given an explicit option to exit digital loan by paying the principal and the proportionate APR without any penalty.","['8. Cooling off/look-up period –A borrower shall be given an explicit option to exit digital loan by paying the principal and the proportionate APR without any penalty during this period.', '2.2. Cooling off/look-up period: A cooling off/ look-up period is the time window as determined by the Board of the RE which shall be given to borrowers for exiting']",Borrowers can exit the loan by paying principal and proportionate APR without penalty.,doc.pdf#page=7,,,
What due diligence must be done before onboarding an LSP?,Enhanced due diligence,['9.1. REs must conduct enhanced due diligence before entering into a partnership'],"Technical capability, data privacy, compliance ability, and borrower fairness must be assessed.",doc.pdf#page=7,,0.9999999999,1.0
Can DLAs access phone contacts or call logs?,"No, DLAs shall desist from accessing mobile phone resources like file and media, contact list, call logs, telephony functions.","['DLAs shall desist from accessing mobile phone resources like file and media, contact list, call logs, telephony functions']","No, access to such data is prohibited.",doc.pdf#page=7,,,
What type of consent is required for data collection?,"Explicit consent of the borrower is required for data collection, with prior and explicit consent of the borrower having an audit trail.",['10.1. REs shall ensure that any collection of data by their DLAs and DLAs of their LSPs is need-based and with prior and explicit consent of the borrower having audit trail.'],Explicit and auditable consent must be obtained from the borrower.,doc.pdf#page=7,,,
Where must borrower data be stored?,In servers located within India,"['11.4. REs shall ensure that all data is stored only in servers located within India, while ensuring compliance with statutory obligations/ regulatory instructions.']",All data must be stored on servers located within India.,doc.pdf#page=8,,,
Is biometric data allowed to be stored?,"No, unless allowed under extant statutory guidelines","['11.3. REs shall ensure that no biometric data is stored/ collected in the systems associated with the DLA of REs/ their LSPs, unless allowed under extant statutory guidelines.']","No, unless permitted by statutory guidelines.",doc.pdf#page=8,,,
What must be included in a privacy policy?,"A comprehensive privacy policy must include details of third parties allowed to collect personal information, and must be compliant with applicable laws, associated regulations, and RBI guidelines.",['12. Comprehensive privacy policy'],"Details of data collection, usage, third-party sharing, and compliance with laws.",doc.pdf#page=9,,,
Are digital loans required to be reported to credit bureaus?,"Yes, digital loans are required to be reported to Credit Information Companies (CICs).","['14.1. As per the provisions of the Credit Information Companies  (CIC) (Regulation) Act, 2005; CIC Rules, 2006; CIC Regulations, 2006 and related guidelines issued by RBI from time to time, REs shall ensure that any lending done through their DLAs and/or DLAs of LSPs is reported to CICs irrespective of its nature/ tenor.']","Yes, all digital lending must be reported to Credit Information Companies.",doc.pdf#page=9,,,
What is FLDG in lending?,First Loss Default Guarantee (FLDG) in which a third party guarantees a portion of the loan,['First Loss Default Guarantee (FLDG) in which a third party'],It is a First Loss Default Guarantee where a third party compensates a portion of loan defaults.,doc.pdf#page=9,,,
What is the interest rate of SBI home loan?,I don't know,[],This information is not available in the document.,doc.pdf#page=NA,,0.0,
